user_id,age,gender,married,has_children,home_country,home_city,home_airport,user_since_days,total_session,total_clicks,total_session_duration_sec,trip_count,total_cancellation,total_successfull_trip,total_trip_duration_hrs,unique_destination_city,Total_spent,num_hotel_stayed,total_hotel_booking,total_nights,total_room,total_hotel_expenditure,total_flight_booked,total_return_flight,total_cancel_flights,total_seat,total_checked_bags,total_distance_flown_km,total_flight_expenditure,total_airline_used,total_destination_airport_used,total_origin_airport_used,total_discounted_flight,total_discounted_hotel
568486,59,F,True,False,Canada,Calgary,YYC,105,8,134,1005.0,4,0,4,720.0,3,3088.98,4,4,28.700000000000003,4.0,2336.0,8.0,4,0.0,4.0,2.0,9842.113685385282,1104.98,4,4,1,1.0,1.0
568970,44,F,False,True,USA,Las Vegas,LAS,105,8,82,610.0,2,0,2,288.0,2,0.0,0,0,0.0,0.0,0.0,4.0,2,0.0,2.0,1.0,2093.0560709701767,400.74,2,2,1,,
569150,39,F,False,False,USA,Washington,IAD,105,8,137,1015.0,5,0,5,432.0,5,1486.94,4,4,9.850000000000001,4.0,867.0,10.0,5,0.0,7.0,5.0,5728.207814487872,3140.9900000000002,4,5,1,,1.0
569792,35,F,False,False,USA,Tulsa,TUL,104,8,131,978.0,4,0,4,384.0,4,5080.14,4,4,14.52,7.0,3476.0,7.0,3,0.0,7.0,2.0,4396.004121144157,1604.14,3,4,1,,
570242,18,F,False,False,USA,Memphis,MEM,104,8,63,468.0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
570369,36,F,True,False,USA,Nashville,BNA,104,8,141,1047.0,4,0,4,216.0,3,583.86,3,3,7.81,3.0,2899.0,5.0,2,0.0,3.0,2.0,4947.936667995122,777.1999999999999,3,3,1,,1.0
570601,37,M,True,True,USA,Baltimore,BWI,104,8,91,681.0,2,0,2,288.0,2,1633.45,1,1,8.03,1.0,1576.0,4.0,2,0.0,2.0,2.0,2292.008773951794,57.45,2,2,1,1.0,
570639,31,F,False,False,USA,New York,JFK,104,9,195,1449.0,3,0,3,216.0,3,2192.99,2,2,5.72,2.0,1024.0,6.0,3,0.0,3.0,0.0,10148.823912474796,1857.5,3,3,1,,1.0
570713,49,F,False,False,USA,New York,JFK,104,8,166,1237.0,2,0,2,96.0,2,858.04,1,1,1.67,1.0,153.0,4.0,2,0.0,4.0,3.0,7895.765158054205,7591.18,2,2,1,,
570746,41,F,False,False,USA,New York,JFK,104,8,108,804.0,3,0,3,456.0,2,0.0,2,2,16.05,3.0,11800.0,4.0,2,0.0,2.0,2.0,4467.978045761105,719.31,2,2,1,1.0,1.0
